My estimation,Old Price,Diferenta de preturi,Procentul erorii,
190173.3,220000,29826.7,13.5575909090909,
121352.6,159000,37647.4,23.6776100628931,
164683.3925,171000,6316.60750000004,3.69392251461991,
216174.3675,179000,37174.3675,20.7678030726257,
107914.778125,109000,1085.22187500002,0.995616399082585,
91951.2795,117000,25048.7205,21.4091628205128,
178318.9625,129000,49318.9625,38.231753875969,
89018.05,115000,25981.95,22.593,
88870.99375,121000,32129.00625,26.5528977272727,
85476.39135,105000,19523.60865,18.593913,
100898.015625,69000,31898.015625,46.2290081521739,
125017.81165,229000,103982.18835,45.4070691484716,
114588.0125,155000,40411.9875,26.07225,
122992.5,144000,21007.5,14.5885416666667,
166859.825,166000,859.824999999983,0.517966867469869,
63479.28125,85000,21520.71875,25.3184926470588,
112284.13125,119000,6715.86874999999,5.64358718487394,
38925.1655,63000,24074.8345,38.214023015873,
113907.5828125,149000,35092.4171875,23.5519578439597,
164683.3925,185000,20316.6075,10.98195,
136299.23195,179000,42700.76805,23.8551776815643,
119769.74,149000,29230.26,19.6176241610738,
164683.3925,185000,20316.6075,10.98195,
161851,185000,23149,12.512972972973,
64388.246375,125000,60611.753625,48.4894029,
241466.625,187000,54466.6249999999,29.1265374331551,
196788,149000,47788,32.0724832214765,
122992.5,89000,33992.5,38.1938202247191,
202814.203,189000,13814.203,7.30910211640212,
89827.305,98000,8172.69500000001,8.33948469387756,
299424.35,399000,99575.65,24.9563032581454,
97312.91375,149000,51687.08625,34.6893196308725,
115469.45875,122000,6530.54125000002,5.35290266393445,
190392.39,210000,19607.61,9.33695714285715,
180696.48125,210000,29303.51875,13.9540565476191,
180389,249000,68611,27.5546184738956,
115469.45875,133000,17530.54125,13.1808580827068,
190392.39,205000,14607.61,7.12566341463415,
179815.035,205000,25184.965,12.2853487804878,
162186.11,175000,12813.89,7.32222285714287,
115469.45875,133000,17530.54125,13.1808580827068,
190392.39,205000,14607.61,7.12566341463415,
179815.035,205000,25184.965,12.2853487804878,
44475.63975,79900,35424.36025,44.3358701501877,
74314.97105,125000,50685.02895,40.54802316,
25650.4265,29000,3349.5735,11.5502534482759,
97820.1894375,129000,31179.8105625,24.1703957848837,
1029393.75,795000,234393.75,29.4834905660377,
110633.876875,135000,24366.123125,18.0489800925926,
414179.925,499000,84820.0750000001,16.9980110220441,
158660.325,225000,66339.675,29.4843,
68213.459625,69000,786.540375000011,1.13991358695654,
58670.9875,79000,20329.0125,25.7329272151899,
127255.34875,120000,7255.34874999998,6.04612395833331,
85335.93975,135000,49664.06025,36.7881927777778,
119116.245,149500,30383.755,20.3235819397993,
224695.24,169000,55695.24,32.9557633136095,
167677.636,170000,2322.36400000003,1.36609647058825,
179815.035,185000,5184.965,2.80268378378378,
322042.86,229000,93042.86,40.6300698689956,
155700.662,245000,89299.338,36.4487093877551,
149712.175,169000,19287.825,11.4129142011834,
335574.85525,240000,95574.85525,39.8228563541667,
368892.511375,359000,9892.511375,2.75557419916435,
261996.30625,419000,157003.69375,37.471048627685,
92821.5485,74900,17921.5485,23.9273010680908,
239539.48,239500,39.4800000000105,0.0164843423799626,
194467.2375,145000,49467.2375,34.1153362068965,
117232.35125,145000,27767.64875,19.1501025862069,
161851,179000,17149,9.58044692737432,
41475.63975,76000,34524.36025,45.4267898026316,
82341.69625,99000,16658.30375,16.8265694444445,
200290.6125,199000,1290.61249999999,0.648548994974869,
57300.853,69000,11699.147,16.9552855072464,
163703.4675,167657,3953.5325,2.35810762449525,
356500,379000,22500.0000000001,5.93667546174144,
182069.15,279000,96930.85,34.7422401433692,
154141.6875,219000,64858.3125,29.6156678082192,
89827.305,99000,9172.69500000001,9.26534848484849,
102939.375,139000,36060.625,25.9428956834532,
188586.875,178000,10586.875,5.94768258426966,
43165.91125,70000,26834.08875,38.3344125,
67370.47875,95000,27629.52125,29.0837065789474,
89827.305,99000,9172.69500000001,9.26534848484849,
104798.5225,99000,5798.52250000002,5.85709343434346,
118689.099375,119000,310.900625000009,0.261261029411773,
111732.7960625,130000,18267.2039375,14.0516953365385,
104798.5225,169000,64201.4775,37.9890399408284,
171565.625,319000,147434.375,46.2176724137931,
404627.5,340000,64627.4999999999,19.0080882352941,
152291.3624,199000,46708.6376,23.4716771859296,
184488.75,249000,64511.2500000001,25.9081325301205,
149712.175,119000,30712.175,25.8085504201681,
104798.5225,145000,40201.4775,27.7251568965517,
67370.47875,105000,37629.52125,35.8376392857143,
70364.72225,99000,28635.27775,28.924522979798,
112284.13125,99000,13284.13125,13.4183143939394,
403581.225,379000,24581.225,6.48581134564643,
243782.145,259000,15217.855,5.87561969111971,
191618.75,239000,47381.25,19.8247907949791,
197367.3125,230000,32632.6875,14.188125,
172456.875,223000,50543.125,22.6650784753363,
172456.875,210000,37543.125,17.8776785714286,
178036.1,195000,16963.9,8.69943589743591,
94318.67025,179000,84681.32975,47.3080054469274,
61939.9875,69000,7060.0125,10.231902173913,
47475.63975,89000,41524.36025,46.6565845505618,
104798.5225,169000,64201.4775,37.9890399408284,
82341.69625,119000,36658.30375,30.8052972689076,
149712.175,149000,712.174999999988,0.47796979865771,
59884.87,115000,55115.13,47.9262,
161851,169000,7149.00000000003,4.23017751479292,
74856.0875,109000,34143.9125,31.3246903669725,
187786.375,221000,33213.625,15.0287895927602,
164792.125,204000,39207.875,19.2195465686275,
160425,223000,62575,28.0605381165919,
172456.875,225000,52543.125,23.3525,
160425,223000,62575,28.0605381165919,
170540.6875,245000,74459.3125,30.391556122449,
237607.25,348000,110392.75,31.7220545977012,
155211.1875,215000,59788.8125,27.80875,
312338.5625,569000,256661.4375,45.1074582601054,
176289.25,233000,56710.75,24.3393776824034,
174373.0625,240000,65626.9375,27.3445572916667,
170540.6875,226000,55459.3125,24.5395188053097,
211094.16675,175000,36094.16675,20.6252381428571,
136238.07925,169000,32761.92075,19.3857519230769,
121266.86175,159000,37733.13825,23.731533490566,
181173.3,179000,2173.29999999999,1.21413407821228,
166180.51425,137500,28680.51425,20.8585558181818,
82341.69625,124000,41658.30375,33.59540625,
167677.636,137500,30177.636,21.9473716363636,
145220.80975,145000,220.809750000015,0.152282586206907,
61939.9875,69000,7060.0125,10.231902173913,
134434.525,135000,565.475000000035,0.418870370370396,
197525.1975,195000,2525.19750000001,1.29497307692308,
119769.74,114000,5769.74000000001,5.0611754385965,
68786.675,88000,19213.325,21.8333238636364,
59399.317,85000,25600.683,30.1184505882353,
58670.9875,85000,26329.0125,30.9753088235294,
45824.064375,75000,29175.935625,38.9012475,
65873.357,100000,34126.643,34.126643,
60896.43875,85000,24103.56125,28.3571308823529,
56850.16375,85000,28149.83625,33.1174544117647,
45824.064375,75000,29175.935625,38.9012475,
195451.125,188000,7451.125,3.96336436170213,
134740.9575,160000,25259.0425,15.7869015625,
102307.1015,99000,3307.1015,3.34050656565657,
